alpha_mmd_loss,angular_mmd_loss,dmet_loss,epoch,grad_cos/alpha_mmd__rest,grad_cos/alpha_mmd__total,grad_cos/angular_mmd__rest,grad_cos/angular_mmd__total,grad_cos/dmet__rest,grad_cos/dmet__total,grad_cos/higgs_mass__rest,grad_cos/higgs_mass__total,grad_cos/huber__rest,grad_cos/huber__total,grad_cos/mass_mmd__rest,grad_cos/mass_mmd__total,grad_cos/w_mass_huber__rest,grad_cos/w_mass_huber__total,higgs_mass_loss,huber_loss,loss,loss_weight/alpha_mmd,loss_weight/angular_mmd,loss_weight/dmet,loss_weight/higgs_mass,loss_weight/huber,loss_weight/mass_mmd,loss_weight/w_mass_huber,mass_mmd_loss,step,test_alpha_mmd_loss,test_angular_mmd_loss,test_dmet_loss,test_higgs_mass_loss,test_huber_loss,test_loss,test_mass_mmd_loss,test_w_mass_huber_loss,val_alpha_mmd_loss,val_angular_mmd_loss,val_dmet_loss,val_higgs_mass_loss,val_huber_loss,val_loss,val_mass_mmd_loss,val_w_mass_huber_loss,w_mass_huber_loss
0.03394555673003197,0.002577695529907942,0.3345978260040283,9,-0.34423571825027466,-0.3334130644798279,-0.05900193378329277,0.15930725634098053,-0.20890364050865173,-0.2064557820558548,-0.17217393219470978,0.9707922339439392,-0.26258742809295654,-0.17486754059791565,0.23107567429542542,0.24339157342910767,-0.11916620284318924,-0.1174979880452156,0.2242882251739502,0.14471663534641266,32.21331024169922,,,,,,,,0.03982173651456833,25339,,,,,,,,,,,,,,,,,0.0661599263548851
,,,10,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,27873,,,,,,,,,,,,,,,,,
,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,27873,,,,,,,,,0.028522737324237823,0.0027077009435743093,0.3285711407661438,0.16415619850158691,0.14145132899284363,29.0792293548584,0.039781972765922546,0.06748826056718826,
0.030170364305377007,0.0025780692230910063,0.3302692770957947,10,0.08006754517555237,0.09026526659727097,-0.31604334712028503,-0.18301700055599213,0.08116237819194794,0.08328494429588318,-0.2657223045825958,0.985694408416748,0.004523833282291889,0.08883486688137054,-0.006785418372601271,0.005134780891239643,0.23810835182666779,0.24000152945518494,0.21698829531669617,0.14173783361911774,31.50732421875,,,,,,,,0.039817579090595245,27873,,,,,,,,,,,,,,,,,0.06631967425346375
,,,11,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,30407,,,,,,,,,,,,,,,,,
,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,30407,,,,,,,,,0.02555566094815731,0.002664304804056883,0.32948654890060425,0.16257070004940033,0.13916029036045074,28.627235412597656,0.03688303008675575,0.0677192434668541,
0.0278597641736269,0.002576942788437009,0.32844728231430054,11,0.1913348287343979,0.20273911952972412,0.1486581563949585,0.3493291735649109,0.5555100440979004,0.5583096146583557,0.2677209675312042,0.9760441780090332,0.40743643045425415,0.45964542031288147,-0.1466154009103775,-0.13858944177627563,0.4919149875640869,0.49323004484176636,0.20978793501853943,0.13993418216705322,30.928495407104492,,,,,,,,0.03882960230112076,30407,,,,,,,,,,,,,,,,,0.06611334532499313
,,,12,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,32941,,,,,,,,,,,,,,,,,
,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,32941,,,,,,,,,0.02430567890405655,0.0026725290808826685,0.32725778222084045,0.1682373285293579,0.13808399438858032,28.790504455566406,0.035624079406261444,0.06749946624040604,
0.026817437261343002,0.0025717976968735456,0.32818299531936646,12,-0.16862139105796814,-0.1604376882314682,0.27369657158851624,0.41010552644729614,0.4284544587135315,0.43096694350242615,0.3991883099079132,0.9889554381370544,0.44144248962402344,0.4810402989387512,-0.1245286613702774,-0.11808823049068451,0.5548914670944214,0.55596923828125,0.2040640264749527,0.13878242671489716,30.49652099609375,,,,,,,,0.037940025329589844,32941,,,,,,,,,,,,,,,,,0.06581190973520279
